X,Y,Z,formation
590986.7544570322,7010286.2186764935,751.4248245252165,sill_diabasio
590940.2883118441,7010304.92257224,747.1650368050628,sill_diabasio
590893.8221666559,7010323.626467987,741.9041995835571,sill_diabasio
590847.3560214678,7010342.330363734,740.4665626740593,sill_diabasio
590800.8898762797,7010361.03425948,739.6894659340177,sill_diabasio
590754.4237310917,7010379.738155227,740.830709016152,sill_diabasio
590708.1804657934,7010398.934124757,747.3024309931059,sill_diabasio
590663.4750946162,7010421.525453904,752.3100605083341,sill_diabasio
590617.6365838981,7010439.664231983,756.8418432886326,sill_diabasio
590567.5705687553,7010441.191481947,755.1632768268312,sill_diabasio
590517.5045536123,7010442.718731911,746.9068566831279,sill_diabasio
590467.4385384694,7010444.245981875,738.6961050746143,sill_diabasio
590417.3725233265,7010445.773231839,735.4856530135172,sill_diabasio
590367.7876758984,7010440.733817512,734.6835385214855,sill_diabasio
590318.4790318335,7010431.924959174,731.8631783766459,sill_diabasio
590269.1703877684,7010423.1161008375,723.7205302662721,sill_diabasio
590219.8617437034,7010414.3072425,711.8500460893399,sill_diabasio
590170.5530996383,7010405.498384162,698.4253152916717,sill_diabasio
590121.2444555733,7010396.689525825,688.1203759296889,sill_diabasio
590071.9358115083,7010387.880667487,684.0007590471264,sill_diabasio
590025.604363317,7010399.569625975,686.7983956587415,sill_diabasio
589980.8391755196,7010422.042194279,695.5879649297365,sill_diabasio
589936.0739877222,7010444.514762583,712.3814655038807,sill_diabasio
589891.3087999248,7010466.987330888,732.9488842101146,sill_diabasio
589846.5436121273,7010489.459899193,750.6986539230868,sill_diabasio
589801.7784243299,7010511.932467497,766.161821599067,sill_diabasio
589757.0132365325,7010534.405035802,779.5648068122342,sill_diabasio
589712.248048735,7010556.877604106,791.7530287053371,sill_diabasio
589668.7266645097,7010581.531246204,802.5699722417685,sill_diabasio
589626.5913924363,7010608.615507538,813.099616059382,sill_diabasio
589584.4561203629,7010635.699768873,821.5401166198412,sill_diabasio
589542.3208482893,7010662.784030208,828.1954337715025,sill_diabasio
589500.1855762159,7010689.868291543,833.063137215607,sill_diabasio
589458.0503041424,7010716.952552877,832.1749879977317,sill_diabasio
589415.915032069,7010744.036814212,825.9202100202124,sill_diabasio
589373.7797599955,7010771.121075546,811.8309534053102,sill_diabasio
589331.6444879221,7010798.205336881,794.3660477155563,sill_diabasio
589289.5092158486,7010825.289598215,779.7312557804497,sill_diabasio
589249.0960949232,7010854.599218957,770.746277261998,sill_diabasio
589212.307384979,7010888.592294508,767.3864772000063,sill_diabasio
589175.5186750349,7010922.585370059,763.1453970128259,sill_diabasio
589138.7299650908,7010956.57844561,760.4259929759519,sill_diabasio
589101.9412551466,7010990.57152116,757.0790048982941,sill_diabasio
589063.8088292545,7011022.957783931,753.9124480781696,sill_diabasio
589023.8429612565,7011053.151620387,750.9200991539924,sill_diabasio
588987.2190640416,7011087.113351635,756.2861279982312,sill_diabasio
588952.469895766,7011123.188740321,761.4833892112408,sill_diabasio
588917.7207274903,7011159.264129008,774.641512173149,sill_diabasio
